x,y
1013.13934,549.4508
1003.2705,552.63116
996,558.5
988.162,562.45776
981.9054,563.36487
979.3608,564.7658
978.0128,567.5513
976.1824,571.67645
973.2619,575.119
969.03845,580.1264
965.6294,586.47644
961.175,591.4375
956.369,593.9524
953.275,600.0625
951.8289,606.9211
950.5137,612.2808
950,614.8919
949.85614,616.5822
950.7687,620.35077
952.1389,625.4861
953.59875,629.67285
953.0542,633.18677
951.09375,638.01044
949.48865,645.3182
948.98834,651.8488
947.55554,652.8889
944.39874,656.5
941,663.7222
938.03625,673.2971
935.39026,679.4756
934.4863,683.63696
937.2237,689.5395
939.5,696
941.78986,703.63043
942.71875,710.0156
942.0088,714.7632
941.1491,721.7807
941.7222,730.18256
942.7754,736.3551
943.0846,740.60767
943.9918,745.418
945,752.73334
943.18964,760.60345
939.1406,767.03125
934.3033,773.0246
931.5,780.5961
930.2931,790.9138
928.5536,802.4464
924.9426,813.43445
920.96875,823.1094
919.27966,827.3983
920.1308,830.9308
920.7537,836.35077
919.30646,841.5
916.89685,846.0397
914.2593,849.7037
912.93634,852.5364
911.3269,854.9808
909.10345,857.7414
906.9032,859.3871
905.06604,858.8585
904.10345,857.7414
903.31665,855.6
902.7742,851.371
899.4394,847.5303
894.6549,843.2324
891.2083,838.19446
887.0833,830.7361
884.7658,820.66455
882.6375,811.5375
880.7195,802.60974
879.4318,793.7159
876.1,784.5111
871.5941,775.7
863.5989,766.1374
851.1,756.4889
835.3625,745.675
820.27466,735.42957
809.21,729.96
802.30585,727.77185
797.3,724.32104
792.3,722.43335
789.5851,721.3511
789.8371,718.52246
788.65717,719.0143
783.5,723.8182
778.4146,727.6829
772.8294,729.52356
765.4036,731.8735
756.4545,734.8295
746.63635,739.48486
737.5833,744.3333
733.1486,749.0405
727.6233,755.96576
723.1486,763.1892
719.33075,771.7154
715.375,778.6528
711.34125,783.65875
705.62305,789.3615
699.2727,795.2727
694.6071,797.2143
690.94183,797.6163
686.4722,798.4167
680.3823,799.08826
677.1786,797.6071
680,794
682,794
688,782
690,786
690,780
690,786
684,784
676,784
668,788
662,794
650,796
652,804
644,812
636,818
632,828
629.5,833
625.625,839.625
620.75,843.9375
613.5909,847.4091
607,848.375
602.22095,848.8953
599.17444,845.52325
594.6579,842.1316
589.4545,837.5303
584.6667,832.97437
581.2059,829.05884
578.442,826.0507
577.0352,825.1479
577.8288,825.4589
580.0217,825.558
580.5484,826.7258
582.65717,827.0571
584.9474,826.2368
584.83765,824.3961
586.6707,820.4268
589.6707,816.3171
592.6707,811.4268
595.40125,808.46295
596.3461,808.37177
597.62823,807.87177
598.46,808.22
599.179,810.2901
599.7907,813.2093
603.15936,812.25824
605.12354,810.7471
607.40247,812.3171
609.99365,812.3734
612.79266,808.37805
616.3929,802.5357
619.9353,794.78235
622.4875,786.5875
625.87933,779.87933
632.7647,771.46075
640.09595,758.1061
644.7658,740.00635
646.8333,736.94446
645.9103,703.4872
644.8924,689.39874
639.907,680.52325
634.119,675.6548
631.1047,673.73254
631.8516,671.9066
629.82184,668.62646
626.78125,664.42706
627.14197,660.4753
629.4773,656.1477
629.1353,650.91174
627.45654,642.9457
626.0843,630.98315
629.7593,617.0679
632.6923,601.71796
631.6053,588.0658
629.375,577.4205
628.24725,570.6978
626.95557,566.86664
624.60846,563.6325
621.0412,558.9
616.4872,553.2308
612.2015,550.0373
609.2143,548.5357
604.73456,546.5247
598.6842,543.4342
593.439,539.3293
586.18115,533.03625
577.83734,525.8976
571.02325,518.9535
